date,open,high,low,close,volume
2006-01-25,58.1,58.47,57.83,33.7681,8932300
2006-01-26,58.75,59.0,58.59,33.9702,7007000
2006-01-27,59.4,59.8,59.05,34.5015,11747900
2006-01-30,59.13,59.7,58.95,34.155,7909700
2006-01-31,58.95,59.35,58.89,34.207,10347500
2006-02-01,59.1,60.02,59.06,34.5477,10834600
2006-02-02,59.74,60.15,59.64,34.4496,9759100
2006-02-03,59.39,60.05,59.32,34.4669,7815900
2006-02-06,59.58,59.9,59.1,34.5304,4998800
2006-02-07,59.47,59.81,59.11,34.259,6403600
2006-02-08,59.4,59.8,59.23,34.3456,6775700
2006-02-09,59.46,59.85,59.32,34.4322,6242200
2006-02-10,59.63,59.79,59.46,34.4784,5804900
2006-02-13,59.58,59.67,59.27,34.3283,5198600
2006-02-14,59.55,60.0,59.48,34.5593,7923000
2006-02-15,59.75,60.25,59.71,34.7152,8575200
2006-02-16,60.02,60.83,60.01,35.0733,6998200
2006-02-17,60.59,61.03,60.42,35.2292,9137500
2006-02-21,60.88,61.0,60.69,35.1599,6770600
2006-02-22,61.0,62.0,60.98,35.7721,8974000
2006-02-23,61.85,62.09,61.39,35.5064,7110800
2006-02-24,61.32,61.73,61.06,35.518,5610800
2006-02-27,61.68,61.89,61.35,35.4314,6723100
2006-02-28,61.0,61.21,59.85,34.6113,14458000
2006-03-01,60.11,60.46,60.02,34.7152,9155200
2006-03-02,59.99,60.02,59.36,34.3918,10876800
2006-03-03,59.3,60.16,59.3,34.4611,7797900
2006-03-06,59.55,59.96,59.5,34.4611,4553300
2006-03-07,59.56,60.56,59.42,34.8249,7366400
2006-03-08,60.25,61.33,60.23,35.2696,8680200
2006-03-09,61.5,62.0,61.1,35.4602,7114000
2006-03-10,61.45,62.44,61.45,35.9511,8506900
2006-03-13,62.11,62.5,61.8,35.7952,5956100
2006-03-14,60.09,60.68,59.6,34.6575,18234500
2006-03-15,60.51,60.51,59.77,34.5939,9813600
2006-03-16,59.8,59.86,59.0,34.2994,12489800
2006-03-17,59.39,59.4,58.85,34.1319,17418000
2006-03-20,59.38,59.38,58.71,34.1781,7027800
2006-03-21,59.21,59.72,58.94,34.0915,6909400
2006-03-22,58.7,59.6,58.7,34.3571,5849700
2006-03-23,59.26,59.4,58.44,33.872,9166500
2006-03-24,58.56,58.95,57.98,33.924,8870500
2006-03-27,58.38,58.62,58.26,33.6641,8040400
2006-03-28,58.0,58.28,57.5,33.2252,14113000
2006-03-29,57.44,57.98,57.0,33.3465,12430600
2006-03-30,57.53,58.1,57.4,33.2829,8419500
2006-03-31,57.63,58.3,57.58,33.2829,11176100
2006-04-03,57.69,58.36,57.69,33.4273,8113400
2006-04-04,57.83,58.48,57.77,33.4966,8873400
2006-04-05,57.95,58.1,57.54,33.2772,8926000
2006-04-06,57.57,57.92,57.24,33.2079,6607300
2006-04-07,57.5,57.94,57.26,33.0808,7392400
2006-04-10,57.3,57.4,56.95,33.0057,7153700
2006-04-11,57.27,57.3,56.09,32.6246,13443800
2006-04-12,56.3,56.5,56.28,32.5841,8850500
2006-04-13,56.4,56.67,56.35,32.6881,6852400
